combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Brandon Vera,2010-03-21,32,190.5,193.04,104.3,Orthodox,Light Heavyweight,215.0,Jon Jones,4,,D,KO/TKO,4,2013-08-31,2010,0,3,1.0,5.6667,1.0213,0.0,2.0,0.0,0.0,30.8,0.565,0.5333,0.333,0.1333,1.013,1,0,0
Jon Jones,2010-03-21,22,193.04,213.36,93.0,Orthodox,Light Heavyweight,-235.0,Brandon Vera,11,,V,KO/TKO,19,2024-11-16,2010,0,3,3.0,7.6667,1.6752,0.0,2.0,1.0,1.0,28.8571,0.564,2.1429,0.68,0.5714,1.105,1,1,0
Junior Dos Santos,2010-03-21,26,193.04,195.58,108.0,Orthodox,Heavyweight,-250.0,Gabriel Gonzaga,10,,V,KO/TKO,19,2020-12-12,2010,0,3,3.0,5.6667,1.6752,0.0,1.0,0.0,1.0,48.7143,0.52,0.4286,0.214,0.0,1.013,1,1,0
Gabriel Gonzaga,2010-03-21,30,187.96,193.04,109.8,Orthodox,Heavyweight,230.0,Junior Dos Santos,4,,D,KO/TKO,12,2016-04-10,2010,0,3,1.0,2.3333,,1.0,1.0,1.0,0.0,14.2308,0.505,1.1538,0.594,0.6923,1.027,1,1,0
Cheick Kongo,2010-03-21,34,193.04,208.28,108.9,Orthodox,Heavyweight,-345.0,Paul Buentello,5,,V,KO/TKO,6,2013-04-27,2010,0,3,3.0,5.0,1.1625,0.0,2.0,0.0,1.0,35.1333,0.579,1.6,0.483,0.2,1.079,1,0,0
Paul Buentello,2010-03-21,36,187.96,195.58,111.1,Orthodox,Heavyweight,315.0,Cheick Kongo,11,,D,KO/TKO,1,2010-03-21,2010,0,1,,,,,,,,,,,,,1.041,0,0,0
Alessio Sakara,2010-03-21,28,182.88,182.88,83.9,Orthodox,Middleweight,-120.0,James Irvin,8,,V,KO/TKO,5,2013-10-26,2010,0,3,1.0,5.3333,1.6085,1.0,2.0,0.0,0.0,19.6154,0.452,0.7692,0.115,0.0,1.0,1,0,0
James Irvin,2010-03-21,31,187.96,190.5,93.0,Orthodox,Middleweight,100.0,Alessio Sakara,10,,D,KO/TKO,2,2010-08-01,2010,0,2,,,,,,,,,,,,,1.014,0,0,0
Clay Guida,2010-03-21,28,170.18,177.8,70.3,Orthodox,Lightweight,-420.0,Shannon Gugerty,4,,V,SUB,27,2024-12-07,2010,0,3,3.0,3.6667,0.6747,0.0,0.0,3.0,0.0,28.9231,0.366,3.1538,0.422,0.6923,1.045,1,1,0
Shannon Gugerty,2010-03-21,28,177.8,180.34,70.3,Orthodox,Lightweight,335.0,Clay Guida,10,,D,SUB,1,2010-03-21,2010,0,1,,,,,,,,,,,,,1.014,0,0,0
Eliot Marshall,2010-03-21,29,187.96,195.58,93.0,Orthodox,Light Heavyweight,145.0,Vladimir Matyushenko,6,,D,S-DEC,3,2011-10-29,2010,0,3,0.0,8.3333,0.5257,0.0,1.0,0.0,0.0,,,,,,1.041,1,0,0
Vladimir Matyushenko,2010-03-21,39,182.88,187.96,93.0,Orthodox,Light Heavyweight,-165.0,Eliot Marshall,3,,V,S-DEC,6,2013-01-26,2010,0,3,2.0,2.6667,,1.0,2.0,0.0,0.0,20.0,0.437,2.1111,0.504,0.1111,1.028,1,0,0
Duane Ludwig,2010-03-21,31,177.8,177.8,77.1,Orthodox,Lightweight,-155.0,Darren Elkins,0,,D,KO/TKO,6,2012-09-29,2010,0,3,2.0,3.6667,0.7491,1.0,1.0,0.0,0.0,44.0,0.453,0.1667,0.083,0.0,1.0,1,0,0
Darren Elkins,2010-03-21,25,177.8,180.34,65.8,Orthodox,Lightweight,135.0,Duane Ludwig,3,,V,KO/TKO,30,2025-04-12,2010,1,3,2.0,2.0,,1.0,1.0,1.0,0.0,26.0,0.09,1.0,0.583,0.0,1.014,1,1,1
John Howard,2010-03-21,27,170.18,180.34,77.1,Orthodox,Welterweight,-210.0,Daniel Roberts,0,,V,KO/TKO,11,2015-12-10,2010,0,3,1.0,5.0,,1.0,2.0,0.0,0.0,19.0,0.532,2.5,0.562,0.6667,1.06,1,1,0
Daniel Roberts,2010-03-21,29,177.8,187.96,77.1,Southpaw,Welterweight,175.0,John Howard,3,,D,KO/TKO,7,2012-01-20,2010,1,3,2.0,3.3333,,0.0,1.0,1.0,0.0,4.6667,0.24,2.6667,0.887,1.3333,1.057,1,0,1
Brendan Schaub,2010-03-21,27,193.04,198.12,111.1,Orthodox,Heavyweight,-260.0,Chase Gormley,1,,V,KO/TKO,10,2014-12-06,2010,0,3,3.0,4.6667,,0.0,2.0,0.0,0.0,25.0,0.508,0.0,0.0,0.0,1.026,1,1,0
Chase Gormley,2010-03-21,27,190.5,196.0,120.2,Orthodox,Heavyweight,220.0,Brendan Schaub,1,,D,KO/TKO,1,2010-03-21,2010,0,1,,,,,,,,,,,,,1.029,0,0,0
Mike Pierce,2010-03-21,29,172.72,177.8,77.1,Orthodox,Welterweight,-420.0,Julio Paulino,0,,V,U-DEC,12,2015-12-11,2010,0,3,3.0,0.0,,3.0,1.0,1.0,0.0,34.0,0.496,3.8,0.56,0.6,1.029,1,1,0
Julio Paulino,2010-03-21,34,182.88,185.42,77.1,Orthodox,Welterweight,335.0,Mike Pierce,2,,D,U-DEC,2,2010-09-25,2010,1,2,,,,,,,,,,,,,1.014,0,0,1
Eric Schafer,2010-03-21,32,190.5,190.5,83.9,Orthodox,Light Heavyweight,140.0,Jason Brilz,3,,D,U-DEC,3,2012-01-20,2010,0,3,0.0,8.0,0.6212,0.0,1.0,0.0,0.0,,,,,,1.0,1,0,0
Jason Brilz,2010-03-21,34,180.34,180.34,93.0,Orthodox,Light Heavyweight,-160.0,Eric Schafer,6,,V,U-DEC,4,2011-11-19,2010,0,3,1.0,5.3333,1.4194,0.0,1.0,0.0,0.0,30.6667,0.537,1.8333,0.372,1.0,1.0,1,0,0
